prompt_id,type,text,status
00001,vowel,অ,pending
00002,vowel,আ,pending
00003,vowel,ই,pending
00004,vowel,ঈ,pending
00005,vowel,উ,pending
00006,vowel,ঊ,pending
00007,vowel,ঋ,pending
00008,vowel,এ,pending
00009,vowel,ঐ,pending
00010,vowel,ও,pending
00011,vowel,ঔ,pending
00012,consonant,ক,pending
00013,consonant,খ,pending
00014,consonant,গ,pending
00015,consonant,ঘ,pending
00016,consonant,ঙ,pending
00017,consonant,চ,pending
00018,consonant,ছ,pending
00019,consonant,জ,pending
00020,consonant,ঝ,pending
00021,consonant,ঞ,pending
00022,consonant,ট,pending
00023,consonant,ঠ,pending
00024,consonant,ড,pending
00025,consonant,ঢ,pending
00026,consonant,ণ,pending
00027,consonant,ত,pending
00028,consonant,থ,pending
00029,consonant,দ,pending
00030,consonant,ধ,pending
00031,consonant,ন,pending
00032,consonant,প,pending
00033,consonant,ফ,pending
00034,consonant,ব,pending
00035,consonant,ভ,pending
00036,consonant,ম,pending
00037,consonant,য,pending
00038,consonant,র,pending
00039,consonant,ল,pending
00040,consonant,শ,pending
00041,consonant,ষ,pending
00042,consonant,স,pending
00043,consonant,হ,pending
00044,consonant,ড়,pending
00045,consonant,ঢ়,pending
00046,consonant,য়,pending
00047,consonant_matra,কা,pending
00048,consonant_matra,কি,pending
00049,consonant_matra,কী,pending
00050,consonant_matra,কু,pending
00051,consonant_matra,কূ,pending
00052,consonant_matra,কৃ,pending
00053,consonant_matra,কে,pending
00054,consonant_matra,কৈ,pending
00055,consonant_matra,কো,pending
00056,consonant_matra,কৌ,pending
00057,consonant_matra,খা,pending
00058,consonant_matra,খি,pending
00059,consonant_matra,খী,pending
00060,consonant_matra,খু,pending
00061,consonant_matra,খূ,pending
00062,consonant_matra,খৃ,pending
00063,consonant_matra,খে,pending
00064,consonant_matra,খৈ,pending
00065,consonant_matra,খো,pending
00066,consonant_matra,খৌ,pending
00067,consonant_matra,গা,pending
00068,consonant_matra,গি,pending
00069,consonant_matra,গী,pending
00070,consonant_matra,গু,pending
00071,consonant_matra,গূ,pending
00072,consonant_matra,গৃ,pending
00073,consonant_matra,গে,pending
00074,consonant_matra,গৈ,pending
00075,consonant_matra,গো,pending
00076,consonant_matra,গৌ,pending
00077,consonant_matra,ঘা,pending
00078,consonant_matra,ঘি,pending
00079,consonant_matra,ঘী,pending
00080,consonant_matra,ঘু,pending
00081,consonant_matra,ঘূ,pending
00082,consonant_matra,ঘৃ,pending
00083,consonant_matra,ঘে,pending
00084,consonant_matra,ঘৈ,pending
00085,consonant_matra,ঘো,pending
00086,consonant_matra,ঘৌ,pending
00087,consonant_matra,ঙা,pending
00088,consonant_matra,ঙি,pending
00089,consonant_matra,ঙী,pending
00090,consonant_matra,ঙু,pending
00091,consonant_matra,ঙূ,pending
00092,consonant_matra,ঙৃ,pending
00093,consonant_matra,ঙে,pending
00094,consonant_matra,ঙৈ,pending
00095,consonant_matra,ঙো,pending
00096,consonant_matra,ঙৌ,pending
00097,consonant_matra,চা,pending
00098,consonant_matra,চি,pending
00099,consonant_matra,চী,pending
00100,consonant_matra,চু,pending
00101,consonant_matra,চূ,pending
00102,consonant_matra,চৃ,pending
00103,consonant_matra,চে,pending
00104,consonant_matra,চৈ,pending
00105,consonant_matra,চো,pending
00106,consonant_matra,চৌ,pending
00107,consonant_matra,ছা,pending
00108,consonant_matra,ছি,pending
00109,consonant_matra,ছী,pending
00110,consonant_matra,ছু,pending
00111,consonant_matra,ছূ,pending
00112,consonant_matra,ছৃ,pending
00113,consonant_matra,ছে,pending
00114,consonant_matra,ছৈ,pending
00115,consonant_matra,ছো,pending
00116,consonant_matra,ছৌ,pending
00117,consonant_matra,জা,pending
00118,consonant_matra,জি,pending
00119,consonant_matra,জী,pending
00120,consonant_matra,জু,pending
00121,consonant_matra,জূ,pending
00122,consonant_matra,জৃ,pending
00123,consonant_matra,জে,pending
00124,consonant_matra,জৈ,pending
00125,consonant_matra,জো,pending
00126,consonant_matra,জৌ,pending
00127,consonant_matra,ঝা,pending
00128,consonant_matra,ঝি,pending
00129,consonant_matra,ঝী,pending
00130,consonant_matra,ঝু,pending
00131,consonant_matra,ঝূ,pending
00132,consonant_matra,ঝৃ,pending
00133,consonant_matra,ঝে,pending
00134,consonant_matra,ঝৈ,pending
00135,consonant_matra,ঝো,pending
00136,consonant_matra,ঝৌ,pending
00137,consonant_matra,ঞা,pending
00138,consonant_matra,ঞি,pending
00139,consonant_matra,ঞী,pending
00140,consonant_matra,ঞু,pending
00141,consonant_matra,ঞূ,pending
00142,consonant_matra,ঞৃ,pending
00143,consonant_matra,ঞে,pending
00144,consonant_matra,ঞৈ,pending
00145,consonant_matra,ঞো,pending
00146,consonant_matra,ঞৌ,pending
00147,consonant_matra,টা,pending
00148,consonant_matra,টি,pending
00149,consonant_matra,টী,pending
00150,consonant_matra,টু,pending
00151,consonant_matra,টূ,pending
00152,consonant_matra,টৃ,pending
00153,consonant_matra,টে,pending
00154,consonant_matra,টৈ,pending
00155,consonant_matra,টো,pending
00156,consonant_matra,টৌ,pending
00157,consonant_matra,ঠা,pending
00158,consonant_matra,ঠি,pending
00159,consonant_matra,ঠী,pending
00160,consonant_matra,ঠু,pending
00161,consonant_matra,ঠূ,pending
00162,consonant_matra,ঠৃ,pending
00163,consonant_matra,ঠে,pending
00164,consonant_matra,ঠৈ,pending
00165,consonant_matra,ঠো,pending
00166,consonant_matra,ঠৌ,pending
00167,consonant_matra,ডা,pending
00168,consonant_matra,ডি,pending
00169,consonant_matra,ডী,pending
00170,consonant_matra,ডু,pending
00171,consonant_matra,ডূ,pending
00172,consonant_matra,ডৃ,pending
00173,consonant_matra,ডে,pending
00174,consonant_matra,ডৈ,pending
00175,consonant_matra,ডো,pending
00176,consonant_matra,ডৌ,pending
00177,consonant_matra,ঢা,pending
00178,consonant_matra,ঢি,pending
00179,consonant_matra,ঢী,pending
00180,consonant_matra,ঢু,pending
00181,consonant_matra,ঢূ,pending
00182,consonant_matra,ঢৃ,pending
00183,consonant_matra,ঢে,pending
00184,consonant_matra,ঢৈ,pending
00185,consonant_matra,ঢো,pending
00186,consonant_matra,ঢৌ,pending
00187,consonant_matra,ণা,pending
00188,consonant_matra,ণি,pending
00189,consonant_matra,ণী,pending
00190,consonant_matra,ণু,pending
00191,consonant_matra,ণূ,pending
00192,consonant_matra,ণৃ,pending
00193,consonant_matra,ণে,pending
00194,consonant_matra,ণৈ,pending
00195,consonant_matra,ণো,pending
00196,consonant_matra,ণৌ,pending
00197,consonant_matra,তা,pending
00198,consonant_matra,তি,pending
00199,consonant_matra,তী,pending
00200,consonant_matra,তু,pending
00201,consonant_matra,তূ,pending
00202,consonant_matra,তৃ,pending
00203,consonant_matra,তে,pending
00204,consonant_matra,তৈ,pending
00205,consonant_matra,তো,pending
00206,consonant_matra,তৌ,pending
00207,consonant_matra,থা,pending
00208,consonant_matra,থি,pending
00209,consonant_matra,থী,pending
00210,consonant_matra,থু,pending
00211,consonant_matra,থূ,pending
00212,consonant_matra,থৃ,pending
00213,consonant_matra,থে,pending
00214,consonant_matra,থৈ,pending
00215,consonant_matra,থো,pending
00216,consonant_matra,থৌ,pending
00217,consonant_matra,দা,pending
00218,consonant_matra,দি,pending
00219,consonant_matra,দী,pending
00220,consonant_matra,দু,pending
00221,consonant_matra,দূ,pending
00222,consonant_matra,দৃ,pending
00223,consonant_matra,দে,pending
00224,consonant_matra,দৈ,pending
00225,consonant_matra,দো,pending
00226,consonant_matra,দৌ,pending
00227,consonant_matra,ধা,pending
00228,consonant_matra,ধি,pending
00229,consonant_matra,ধী,pending
00230,consonant_matra,ধু,pending
00231,consonant_matra,ধূ,pending
00232,consonant_matra,ধৃ,pending
00233,consonant_matra,ধে,pending
00234,consonant_matra,ধৈ,pending
00235,consonant_matra,ধো,pending
00236,consonant_matra,ধৌ,pending
00237,consonant_matra,না,pending
00238,consonant_matra,নি,pending
00239,consonant_matra,নী,pending
00240,consonant_matra,নু,pending
00241,consonant_matra,নূ,pending
00242,consonant_matra,নৃ,pending
00243,consonant_matra,নে,pending
00244,consonant_matra,নৈ,pending
00245,consonant_matra,নো,pending
00246,consonant_matra,নৌ,pending
00247,consonant_matra,পা,pending
00248,consonant_matra,পি,pending
00249,consonant_matra,পী,pending
00250,consonant_matra,পু,pending
00251,consonant_matra,পূ,pending
00252,consonant_matra,পৃ,pending
00253,consonant_matra,পে,pending
00254,consonant_matra,পৈ,pending
00255,consonant_matra,পো,pending
00256,consonant_matra,পৌ,pending
00257,consonant_matra,ফা,pending
00258,consonant_matra,ফি,pending
00259,consonant_matra,ফী,pending
00260,consonant_matra,ফু,pending
00261,consonant_matra,ফূ,pending
00262,consonant_matra,ফৃ,pending
00263,consonant_matra,ফে,pending
00264,consonant_matra,ফৈ,pending
00265,consonant_matra,ফো,pending
00266,consonant_matra,ফৌ,pending
00267,consonant_matra,বা,pending
00268,consonant_matra,বি,pending
00269,consonant_matra,বী,pending
00270,consonant_matra,বু,pending
00271,consonant_matra,বূ,pending
00272,consonant_matra,বৃ,pending
00273,consonant_matra,বে,pending
00274,consonant_matra,বৈ,pending
00275,consonant_matra,বো,pending
00276,consonant_matra,বৌ,pending
00277,consonant_matra,ভা,pending
00278,consonant_matra,ভি,pending
00279,consonant_matra,ভী,pending
00280,consonant_matra,ভু,pending
00281,consonant_matra,ভূ,pending
00282,consonant_matra,ভৃ,pending
00283,consonant_matra,ভে,pending
00284,consonant_matra,ভৈ,pending
00285,consonant_matra,ভো,pending
00286,consonant_matra,ভৌ,pending
00287,consonant_matra,মা,pending
00288,consonant_matra,মি,pending
00289,consonant_matra,মী,pending
00290,consonant_matra,মু,pending
00291,consonant_matra,মূ,pending
00292,consonant_matra,মৃ,pending
00293,consonant_matra,মে,pending
00294,consonant_matra,মৈ,pending
00295,consonant_matra,মো,pending
00296,consonant_matra,মৌ,pending
00297,consonant_matra,যা,pending
00298,consonant_matra,যি,pending
00299,consonant_matra,যী,pending
00300,consonant_matra,যু,pending
00301,consonant_matra,যূ,pending
00302,consonant_matra,যৃ,pending
00303,consonant_matra,যে,pending
00304,consonant_matra,যৈ,pending
00305,consonant_matra,যো,pending
00306,consonant_matra,যৌ,pending
00307,consonant_matra,রা,pending
00308,consonant_matra,রি,pending
00309,consonant_matra,রী,pending
00310,consonant_matra,রু,pending
00311,consonant_matra,রূ,pending
00312,consonant_matra,রৃ,pending
00313,consonant_matra,রে,pending
00314,consonant_matra,রৈ,pending
00315,consonant_matra,রো,pending
00316,consonant_matra,রৌ,pending
00317,consonant_matra,লা,pending
00318,consonant_matra,লি,pending
